state,city,min_lat,max_lat,min_long,max_long
OR,CORVALLIS,42.1617,45.828968,-124.26388500000002,-117.29607
OR,COTTAGE GROVE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,COVE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,COOS BAY,42.1617,45.828968,-124.26388500000002,-117.29607
OR,ENTERPRISE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,EUGENE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,GLIDE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,GRANTS PASS,42.1617,45.828968,-124.26388500000002,-117.29607
OR,HERMISTON,42.1617,45.828968,-124.26388500000002,-117.29607
OR,HILLSBORO,42.1617,45.828968,-124.26388500000002,-117.29607
OR,HOOD RIVER,42.1617,45.828968,-124.26388500000002,-117.29607
OR,JOHN DAY,42.1617,45.828968,-124.26388500000002,-117.29607
OR,KLAMATH FALLS,42.1617,45.828968,-124.26388500000002,-117.29607
OR,LA GRANDE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,LAKEVIEW,42.1617,45.828968,-124.26388500000002,-117.29607
OR,LYONS,42.1617,45.828968,-124.26388500000002,-117.29607
OR,MADRAS,42.1617,45.828968,-124.26388500000002,-117.29607
OR,MEDFORD,42.1617,45.828968,-124.26388500000002,-117.29607
OR,MILL CITY,42.1617,45.828968,-124.26388500000002,-117.29607
OR,RHODODENDRON,42.1617,45.828968,-124.26388500000002,-117.29607
OR,OAKRIDGE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,PENDLETON,42.1617,45.828968,-124.26388500000002,-117.29607
OR,OREGON CITY,42.1617,45.828968,-124.26388500000002,-117.29607
OR,PRINEVILLE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,WILLIAMS,42.1617,45.828968,-124.26388500000002,-117.29607
OR,ROSEBURG,42.1617,45.828968,-124.26388500000002,-117.29607
OR,SALEM,42.1617,45.828968,-124.26388500000002,-117.29607
OR,SHADY COVE,42.1617,45.828968,-124.26388500000002,-117.29607
OR,SILVERTON,42.1617,45.828968,-124.26388500000002,-117.29607
OR,SISTERS,42.1617,45.828968,-124.26388500000002,-117.29607
OR,SWEET HOME,42.1617,45.828968,-124.26388500000002,-117.29607
OR,TALENT,42.1617,45.828968,-124.26388500000002,-117.29607
OR,THE DALLES,42.1617,45.828968,-124.26388500000002,-117.29607
OR,TURNER,42.1617,45.828968,-124.26388500000002,-117.29607
PA,ALLENTOWN,39.818714,41.867336,-80.485,-75.08083
PA,ALTOONA,39.818714,41.867336,-80.485,-75.08083
PA,BIGLERVILLE,39.818714,41.867336,-80.485,-75.08083
PA,PITTSBURGH,39.818714,41.867336,-80.485,-75.08083
PA,BEAVER FALLS,39.818714,41.867336,-80.485,-75.08083
PA,CARLISLE,39.818714,41.867336,-80.485,-75.08083
PA,CHARLEROI,39.818714,41.867336,-80.485,-75.08083
PA,CHESTER,39.818714,41.867336,-80.485,-75.08083
PA,PHILADELPHIA,39.818714,41.867336,-80.485,-75.08083
PA,FARRELL,39.818714,41.867336,-80.485,-75.08083
PA,BURGETTSTOWN,39.818714,41.867336,-80.485,-75.08083
PA,FREEMANSBURG,39.818714,41.867336,-80.485,-75.08083
PA,GREENSBURG,39.818714,41.867336,-80.485,-75.08083
PA,HARRISBURG,39.818714,41.867336,-80.485,-75.08083
PA,WAYNESBURG,39.818714,41.867336,-80.485,-75.08083
PA,JOHNSTOWN,39.818714,41.867336,-80.485,-75.08083
PA,KITTANNING,39.818714,41.867336,-80.485,-75.08083
PA,RONKS,39.818714,41.867336,-80.485,-75.08083
PA,LEBANON,39.818714,41.867336,-80.485,-75.08083
PA,MARCUS HOOK,39.818714,41.867336,-80.485,-75.08083
PA,NEW MILFORD,39.818714,41.867336,-80.485,-75.08083
PA,PLYMOUTH MEETING,39.818714,41.867336,-80.485,-75.08083
PA,SWIFTWATER,39.818714,41.867336,-80.485,-75.08083
PA,READING,39.818714,41.867336,-80.485,-75.08083
PA,JERSEY SHORE,39.818714,41.867336,-80.485,-75.08083
PA,THROOP,39.818714,41.867336,-80.485,-75.08083
PA,MONROE,39.818714,41.867336,-80.485,-75.08083
PA,TUNKHANNOCK,39.818714,41.867336,-80.485,-75.08083
PA,UNIONTOWN,39.818714,41.867336,-80.485,-75.08083
PA,YORK,39.818714,41.867336,-80.485,-75.08083
RI,PROVIDENCE,41.4942,41.8403,-71.7197,-71.3617
